id,file,type,deleted,score,createdAt,updatedAt,UserId
983,database-522802-1579749206987.xlsx,database,t,1,2020-01-23 08:43:27.237+05:30,2020-01-23 21:38:36.627+05:30,1177
27,image-722367-1576577377863.jpg,image,t,1,2019-12-17 15:39:37.869+05:30,2020-01-23 21:38:36.627+05:30,233
10,database-226636-1576073858951.xlsx,database,t,0,2019-12-11 19:47:38.975+05:30,2020-01-19 14:43:23.292+05:30,81
963,database-704679-1579626989958.xlsx,database,t,32,2020-01-21 22:46:30.078+05:30,2020-01-23 19:59:44.342+05:30,1501
968,database-797322-1579627012994.xlsx,database,t,32,2020-01-21 22:46:53.056+05:30,2020-01-23 19:59:44.342+05:30,1501
28,image-306910-1576577414591.jpg,image,t,1,2019-12-17 15:40:14.601+05:30,2020-01-23 21:38:36.627+05:30,233
964,database-385772-1579626990093.xlsx,database,t,32,2020-01-21 22:46:30.163+05:30,2020-01-23 20:00:58.667+05:30,1501
29,image-723993-1576577438336.jpg,image,t,1,2019-12-17 15:40:38.351+05:30,2020-01-23 21:40:16.056+05:30,233
30,image-170649-1576577454398.jpg,image,t,1,2019-12-17 15:40:54.427+05:30,2020-01-23 21:40:16.056+05:30,233
31,image-75715-1576577468800.jpg,image,t,1,2019-12-17 15:41:08.809+05:30,2020-01-23 21:40:16.056+05:30,233
1002,database-999911-1579985258109.xlsx,database,t,10,2020-01-26 02:17:38.202+05:30,2020-01-26 13:09:12.219+05:30,5
953,image-785011-1579608564656.jpg,image,t,1,2020-01-21 17:39:24.731+05:30,2020-01-28 22:29:13.942+05:30,566
954,image-316390-1579608570265.jpg,image,t,1,2020-01-21 17:39:30.282+05:30,2020-01-28 22:29:13.942+05:30,566
955,image-554316-1579608570858.jpg,image,t,1,2020-01-21 17:39:30.87+05:30,2020-01-28 22:29:13.942+05:30,566
956,image-467705-1579608571133.jpg,image,t,1,2020-01-21 17:39:31.144+05:30,2020-01-28 22:29:13.942+05:30,566
957,image-926233-1579608571783.jpg,image,t,1,2020-01-21 17:39:31.8+05:30,2020-01-28 22:29:13.942+05:30,566
930,image-278554-1579356697506.png,image,t,1,2020-01-18 19:41:37.518+05:30,2020-01-28 22:53:55.799+05:30,493
959,image-553422-1579608572530.jpg,image,t,1,2020-01-21 17:39:32.533+05:30,2020-01-28 22:53:55.799+05:30,566
995,image-768998-1579757564544.jpg,image,t,1,2020-01-23 11:02:44.558+05:30,2020-01-28 22:53:55.799+05:30,44
57,database-300095-1576663314667.xlsx,database,t,0,2019-12-18 15:31:54.676+05:30,2020-01-21 18:04:16.935+05:30,254
59,database-734999-1576664082208.xlsx,database,t,0,2019-12-18 15:44:42.244+05:30,2020-01-21 18:05:11.273+05:30,254
918,database-251100-1579348697539.xlsx,database,t,2,2020-01-18 17:28:17.629+05:30,2020-01-21 18:15:45.829+05:30,282
11,database-484486-1576124038253.xlsx,database,t,0,2019-12-12 09:43:58.278+05:30,2020-01-21 19:26:50.739+05:30,148
961,image-309219-1579608573249.jpg,image,t,1,2020-01-21 17:39:33.253+05:30,2020-01-28 22:52:35.182+05:30,566
962,image-982473-1579608573273.jpg,image,t,1,2020-01-21 17:39:33.276+05:30,2020-01-28 22:52:35.182+05:30,566
692,image-689163-1578672951948.jpg,image,t,1,2020-01-10 21:45:51.96+05:30,2020-01-28 22:52:35.182+05:30,95
2,database-334691-1576072184883.xlsx,database,t,0,2019-12-11 19:19:44.984+05:30,2020-01-15 20:03:58.289+05:30,71
5,database-177471-1576072353260.xlsx,database,t,0,2019-12-11 19:22:33.294+05:30,2020-01-15 20:04:38.64+05:30,71
12,database-370195-1576124127811.xlsx,database,t,0,2019-12-12 09:45:27.824+05:30,2020-01-21 19:27:37.312+05:30,148
13,database-427935-1576126071567.xlsx,database,t,0,2019-12-12 10:17:51.599+05:30,2020-01-21 19:28:02.71+05:30,148
54,database-697845-1576662493942.xlsx,database,t,0,2019-12-18 15:18:14.263+05:30,2020-01-21 18:05:57.223+05:30,254
53,database-610483-1576644263342.xlsx,database,t,13,2019-12-18 10:14:23.659+05:30,2020-01-21 19:54:52.034+05:30,233
941,database-623012-1579501953663.xlsx,database,t,7,2020-01-20 12:02:33.683+05:30,2020-01-21 20:38:56.227+05:30,1385
1003,image-243858-1579985283839.jpeg,image,t,1,2020-01-26 02:18:03.894+05:30,2020-01-26 16:33:06.523+05:30,5
129,image-438696-1576851110936.jpg,image,t,1,2019-12-20 19:41:50.985+05:30,2020-01-23 21:52:32.266+05:30,233
130,image-311536-1576851110950.jpg,image,t,1,2019-12-20 19:41:50.99+05:30,2020-01-23 21:52:32.266+05:30,233
131,image-737775-1576851111847.jpg,image,t,1,2019-12-20 19:41:51.849+05:30,2020-01-23 21:52:32.266+05:30,233
661,image-378918-1578658842385.jpg,image,t,1,2020-01-10 17:50:42.391+05:30,2020-01-28 22:52:35.182+05:30,644
662,image-711283-1578659570048.png,image,t,1,2020-01-10 18:02:50.066+05:30,2020-01-28 22:52:35.182+05:30,447
663,image-249284-1578659577918.png,image,t,1,2020-01-10 18:02:57.944+05:30,2020-01-28 22:52:35.182+05:30,447
664,image-590419-1578659587592.png,image,t,1,2020-01-10 18:03:07.606+05:30,2020-01-28 22:52:35.182+05:30,447
665,image-830871-1578659595154.png,image,t,1,2020-01-10 18:03:15.155+05:30,2020-01-28 22:52:35.182+05:30,447
666,image-100825-1578659602066.png,image,t,1,2020-01-10 18:03:22.067+05:30,2020-01-28 22:52:35.182+05:30,447
958,image-665763-1579608572388.jpg,image,t,1,2020-01-21 17:39:32.403+05:30,2020-01-28 22:52:35.182+05:30,566
919,database-907230-1579352723152.xlsx,database,t,130,2020-01-18 18:35:23.532+05:30,2020-01-20 06:49:25.217+05:30,1300
106,database-808437-1576768697072.xls,database,t,47,2019-12-19 20:48:17.188+05:30,2020-01-20 19:24:01.993+05:30,264
132,image-635577-1576851125779.jpg,image,t,1,2019-12-20 19:42:05.78+05:30,2020-01-23 21:53:30.012+05:30,233
989,database-398532-1579749317725.xlsx,database,t,1,2020-01-23 08:45:17.78+05:30,2020-01-23 21:59:08.754+05:30,1177
1004,database-502365-1580031082375.xlsx,database,t,26,2020-01-26 15:01:22.55+05:30,2020-01-26 16:36:54.921+05:30,461
190,database-728008-1577026158845.xlsx,database,t,8,2019-12-22 20:19:18.991+05:30,2020-01-18 17:13:23.205+05:30,291
967,database-18693-1579626990398.xlsx,database,t,32,2020-01-21 22:46:30.448+05:30,2020-01-23 20:00:07.483+05:30,1501
966,database-196212-1579626990341.xlsx,database,t,32,2020-01-21 22:46:30.391+05:30,2020-01-23 20:00:58.667+05:30,1501
33,image-236765-1576578168329.jpg,image,t,1,2019-12-17 15:52:48.443+05:30,2020-01-23 21:40:16.056+05:30,233
34,image-166940-1576578192247.jpg,image,t,1,2019-12-17 15:53:12.268+05:30,2020-01-23 21:40:16.056+05:30,233
35,image-272538-1576579241071.jpg,image,t,1,2019-12-17 16:10:41.1+05:30,2020-01-23 21:40:16.056+05:30,233
36,image-906778-1576579258521.jpg,image,t,1,2019-12-17 16:10:58.56+05:30,2020-01-23 21:40:16.056+05:30,233
208,database-619299-1577198344822.xlsx,database,t,40,2019-12-24 20:09:07.029+05:30,2020-01-19 14:53:08.953+05:30,236
921,database-959829-1579352737863.xlsx,database,t,130,2020-01-18 18:35:38.06+05:30,2020-01-20 06:50:29.068+05:30,1300
744,image-505968-1578730059504.jpeg,image,t,1,2020-01-11 13:37:39.514+05:30,2020-01-28 22:53:55.799+05:30,1228
745,image-138982-1578730059813.jpeg,image,t,1,2020-01-11 13:37:39.834+05:30,2020-01-28 22:53:55.799+05:30,1228
746,image-992140-1578730071140.jpeg,image,t,1,2020-01-11 13:37:51.158+05:30,2020-01-28 22:53:55.799+05:30,1228
530,image-237703-1578493503227.png,image,t,1,2020-01-08 19:55:03.243+05:30,2020-01-28 22:31:45.521+05:30,998
531,image-435091-1578493535930.png,image,t,1,2020-01-08 19:55:35.932+05:30,2020-01-28 22:31:45.521+05:30,998
532,image-376723-1578493546263.png,image,t,1,2020-01-08 19:55:46.277+05:30,2020-01-28 22:31:45.521+05:30,998
533,image-416279-1578493561103.png,image,t,1,2020-01-08 19:56:01.118+05:30,2020-01-28 22:31:45.521+05:30,998
525,image-478637-1578493422810.png,image,t,1,2020-01-08 19:53:42.934+05:30,2020-01-28 22:31:45.521+05:30,998
189,database-164908-1576991301872.xlsx,database,t,100,2019-12-22 10:38:22.22+05:30,2020-01-13 20:22:18.328+05:30,283
185,database-229284-1576956903243.xlsx,database,t,0,2019-12-22 01:05:03.294+05:30,2020-01-17 20:17:08.288+05:30,281
184,database-152176-1576956903238.xlsx,database,t,0,2019-12-22 01:05:03.281+05:30,2020-01-17 20:19:06.243+05:30,281
186,database-285810-1576990295834.xlsx,database,t,0,2019-12-22 10:21:35.917+05:30,2020-01-18 15:57:42.095+05:30,283
183,database-442003-1576951750123.xls,database,t,2,2019-12-21 23:39:10.375+05:30,2020-01-20 19:57:31.2+05:30,264
203,database-71083-1577087038329.xlsx,database,t,0,2019-12-23 13:13:58.381+05:30,2020-01-21 21:38:07.735+05:30,290
526,image-465719-1578493442837.png,image,t,1,2020-01-08 19:54:02.838+05:30,2020-01-28 22:31:45.521+05:30,998
523,image-945108-1578493383023.png,image,t,1,2020-01-08 19:53:03.032+05:30,2020-01-28 22:31:45.521+05:30,998
524,image-201099-1578493405122.png,image,t,1,2020-01-08 19:53:25.138+05:30,2020-01-28 22:31:45.521+05:30,998
177,image-107633-1576912651801.jpg,image,t,1,2019-12-21 12:47:31.803+05:30,2020-01-23 22:04:50.087+05:30,233
178,image-769386-1576912663467.jpg,image,t,1,2019-12-21 12:47:43.469+05:30,2020-01-23 22:04:50.087+05:30,233
179,image-737754-1576912885569.jpg,image,t,1,2019-12-21 12:51:25.608+05:30,2020-01-23 22:04:50.087+05:30,233
204,image-157101-1577087089665.jpg,image,t,1,2019-12-23 13:14:49.675+05:30,2020-01-23 22:11:03.067+05:30,294
214,image-80619-1577263650354.jpg,image,t,1,2019-12-25 14:17:30.37+05:30,2020-01-23 22:11:42.567+05:30,236
156,image-856920-1576907016499.jpg,image,t,1,2019-12-21 11:13:36.517+05:30,2020-01-23 21:57:28.762+05:30,233
747,image-335305-1578730079474.jpeg,image,t,1,2020-01-11 13:37:59.475+05:30,2020-01-28 22:53:55.799+05:30,1228
748,image-534860-1578730086838.jpeg,image,t,1,2020-01-11 13:38:06.889+05:30,2020-01-28 22:53:55.799+05:30,1228
693,image-80462-1578672964181.jpg,image,t,1,2020-01-10 21:46:04.183+05:30,2020-01-28 22:53:55.799+05:30,95
157,image-806834-1576907034300.jpg,image,t,1,2019-12-21 11:13:54.353+05:30,2020-01-23 21:57:28.762+05:30,233
